tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
0  0  0  -0.15  0.15  0  0  -0.1  0.1
0.01  7.03091e-06  -0.0102421  -0.15  0.15  0  0  -0.1  0.1
0.02  4.29598e-05  -0.0186558  -0.15  0.15  0  0  -0.1  0.1
0.03  0.000127754  -0.0254365  -0.15  0.15  0  0  -0.1  0.1
0.04  0.000277589  -0.0307584  -0.15  0.15  0  0  -0.1  0.1
0.05  0.000505302  -0.0347772  -0.15  0.15  0  0  -0.1  0.1
0.06  0.000820801  -0.0376326  -0.15  0.15  0  0  -0.1  0.1
0.07  0.00123142  -0.0394508  -0.15  0.15  0  0  -0.1  0.1
0.08  0.00174223  -0.0403457  -0.15  0.15  0  0  -0.1  0.1
0.09  0.00235636  -0.0404214  -0.15  0.15  0  0  -0.1  0.1
0.1  0.00307521  -0.0397726  -0.15  0.15  0  0  -0.1  0.1
0.11  0.0038987  -0.0384866  -0.15  0.15  0  0  -0.1  0.1
0.12  0.0048255  -0.0366433  -0.15  0.15  0  0  -0.1  0.1
0.13  0.00585319  -0.0343163  -0.15  0.15  0  0  -0.1  0.1
0.14  0.00697843  -0.0315733  -0.15  0.15  0  0  -0.1  0.1
0.15  0.00819716  -0.028476  -0.15  0.15  0  0  -0.1  0.1
0.16  0.00950467  -0.0250803  -0.15  0.15  0  0  -0.1  0.1
0.17  0.0108958  -0.0214359  -0.15  0.15  0  0  -0.1  0.1
0.18  0.0123649  -0.0175869  -0.15  0.15  0  0  -0.1  0.1
0.19  0.0139062  -0.0135726  -0.15  0.15  0  0  -0.1  0.1
0.2  0.0155135  -0.00942778  -0.15  0.15  0  0  -0.1  0.1
0.21  0.0171807  -0.00518356  -0.15  0.15  0  0  -0.1  0.1
0.22  0.0189014  -0.000867693  -0.15  0.15  0  0  -0.1  0.1
0.23  0.0206693  0.0034949  -0.15  0.15  0  0  -0.1  0.1
0.24  0.022478  0.00788169  -0.15  0.15  0  0  -0.1  0.1
0.25  0.0243212  0.0122722  -0.15  0.15  0  0  -0.1  0.1
0.26  0.0261927  0.0166476  -0.15  0.15  0  0  -0.1  0.1
