tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
0  0  0  -0.1  0.1  0  0  -0.15  0.15
0.01  2.51404e-07  0  -0.1  0.1  1.96133e-06  0  -0.15  0.15
0.02  2.01123e-06  0  -0.1  0.1  1.56906e-05  0  -0.15  0.15
0.03  6.78791e-06  0  -0.1  0.1  5.29558e-05  0  -0.15  0.15
0.04  1.60899e-05  0  -0.1  0.1  0.000125525  0  -0.15  0.15
0.05  3.14255e-05  0  -0.1  0.1  0.000245166  0  -0.15  0.15
0.06  5.40796e-05  0  -0.1  0.1  0.000421572  0  -0.15  0.15
0.07  8.44425e-05  0  -0.1  0.1  0.000656139  0  -0.15  0.15
0.08  0.000122681  0  -0.1  0.1  0.000948188  0  -0.15  0.15
0.09  0.000168961  0  -0.1  0.1  0.00129704  0  -0.15  0.15
0.1  0.000223449  0  -0.1  0.1  0.00170201  0  -0.15  0.15
0.11  0.000286313  0  -0.1  0.1  0.00216243  0  -0.15  0.15
0.12  0.000357677  0  -0.1  0.1  0.00267721  0  -0.15  0.15
0.13  0.000437502  0  -0.1  0.1  0.00324366  0  -0.15  0.15
0.14  0.000525709  0  -0.1  0.1  0.00385866  0  -0.15  0.15
0.15  0.000622216  0  -0.1  0.1  0.00451912  0  -0.15  0.15
0.16  0.000726944  0  -0.1  0.1  0.0052219  0  -0.15  0.15
0.17  0.000839811  0  -0.1  0.1  0.00596373  0  -0.15  0.15
0.18  0.000960739  0  -0.1  0.1  0.0067413  0  -0.15  0.15
0.19  0.00108965  0  -0.1  0.1  0.00755131  0  -0.15  0.15
0.2  0.00122645  0  -0.1  0.1  0.00839044  0  -0.15  0.15
0.21  0.00137109  0  -0.1  0.1  0.00925543  0  -0.15  0.15
0.22  0.00152351  0  -0.1  0.1  0.0101431  0  -0.15  0.15
0.23  0.0016837  0  -0.1  0.1  0.0110505  0  -0.15  0.15
0.24  0.00185162  0  -0.1  0.1  0.0119744  0  -0.15  0.15
0.25  0.00202725  0  -0.1  0.1  0.0129118  0  -0.15  0.15
0.26  0.00221056  0  -0.1  0.1  0.0138595  0  -0.15  0.15
