tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
0  0  0  -0.1  0.1  0  0  -0.15  0.15
0.01  1.85506e-07  -0.00113556  -0.1  0.1  1.49952e-06  -0.00917923  -0.15  0.15
0.02  1.48404e-06  -0.00227001  -0.1  0.1  1.19961e-05  -0.0183495  -0.15  0.15
0.03  4.97557e-06  -0.00319971  -0.1  0.1  4.00563e-05  -0.0248653  -0.15  0.15
0.04  1.16077e-05  -0.00412628  -0.1  0.1  9.25237e-05  -0.0313566  -0.15  0.15
0.05  2.22668e-05  -0.00487644  -0.1  0.1  0.000175473  -0.0357483  -0.15  0.15
0.06  3.77266e-05  -0.00562181  -0.1  0.1  0.000293628  -0.0401047  -0.15  0.15
0.07  5.87094e-05  -0.00621863  -0.1  0.1  0.000451093  -0.0427088  -0.15  0.15
0.08  8.5844e-05  -0.0068093  -0.1  0.1  0.000650856  -0.0452706  -0.15  0.15
0.09  0.000119715  -0.00726631  -0.1  0.1  0.000895413  -0.046514  -0.15  0.15
0.1  0.000160825  -0.00771609  -0.1  0.1  0.00118643  -0.047711  -0.15  0.15
0.11  0.000209653  -0.00815815  -0.1  0.1  0.00152537  -0.0488601  -0.15  0.15
0.12  0.000266658  -0.00844324  -0.1  0.1  0.00191341  -0.0482819  -0.15  0.15
0.13  0.000332199  -0.00871979  -0.1  0.1  0.00235064  -0.0476545  -0.15  0.15
0.14  0.000406597  -0.0089036  -0.1  0.1  0.00283678  -0.0463517  -0.15  0.15
0.15  0.000490119  -0.00907828  -0.1  0.1  0.00337112  -0.0450007  -0.15  0.15
0.16  0.000583018  -0.00924359  -0.1  0.1  0.00395286  -0.0436023  -0.15  0.15
0.17  0.000685534  -0.00932064  -0.1  0.1  0.00458107  -0.0412691  -0.15  0.15
0.18  0.000797856  -0.00938787  -0.1  0.1  0.0052542  -0.0388909  -0.15  0.15
0.19  0.000920151  -0.00938897  -0.1  0.1  0.00597057  -0.0362629  -0.15  0.15
0.2  0.00105255  -0.00937997  -0.1  0.1  0.00672832  -0.0335934  -0.15  0.15
0.21  0.00119517  -0.00934379  -0.1  0.1  0.00752553  -0.0305204  -0.15  0.15
0.22  0.00134812  -0.00929729  -0.1  0.1  0.00836003  -0.0274102  -0.15  0.15
0.23  0.00151149  -0.00922219  -0.1  0.1  0.00922955  -0.0240886  -0.15  0.15
0.24  0.00168539  -0.00913658  -0.1  0.1  0.0101317  -0.0207345  -0.15  0.15
0.25  0.00186988  -0.0090114  -0.1  0.1  0.0110641  -0.0173017  -0.15  0.15
0.26  0.00206504  -0.00887555  -0.1  0.1  0.0120243  -0.0138412  -0.15  0.15
0.27  0.00227093  -0.00873387  -0.1  0.1  0.0130099  -0.0102684  -0.15  0.15
0.28  0.00248759  -0.0085814  -0.1  0.1  0.0140183  -0.0066727  -0.15  0.15
0.29  0.00271511  -0.00839035  -0.1  0.1  0.0150469  -0.0031771  -0.15  0.15
0.3  0.0029535  -0.00818841  -0.1  0.1  0.0160934  0.000336367  -0.15  0.15
0.31  0.00320281  -0.00798719  -0.1  0.1  0.0171554  0.00391793  -0.15  0.15
0.32  0.0034631  -0.007775  -0.1  0.1  0.0182303  0.00751247  -0.15  0.15
0.33  0.00373437  -0.00743342  -0.1  0.1  0.0193157  0.0110151  -0.15  0.15
0.34  0.00401659  -0.00708089  -0.1  0.1  0.0204093  0.0145259  -0.15  0.15
0.35  0.00430967  -0.00661172  -0.1  0.1  0.0215087  0.0180296  -0.15  0.15
0.36  0.00461345  -0.00613185  -0.1  0.1  0.0226114  0.0215367  -0.15  0.15
0.37  0.00492776  -0.00561609  -0.1  0.1  0.0237153  0.0247344  -0.15  0.15
0.38  0.0052524  -0.00509  -0.1  0.1  0.0248181  0.0279312  0.05  0.15
0.39  0.00558716  -0.00449531  -0.1  0.1  0.0259177  0.0323641  0.05  0.15
0.4  0.00593181  -0.00389074  -0.1  0.1  0.027011  0.0367907  0.05  0.15
0.41  0.00628602  -0.00289177  -0.1  0.1  0.028095  0.0394579  0.05  0.15
0.42  0.00664922  -0.00188381  -0.1  0.1  0.0291679  0.042114  0.05  0.15
0.43  0.00702082  -0.00103457  -0.1  0.1  0.0302282  0.0440153  0.05  0.15
0.44  0.00740031  -0.00017743  -0.1  0.1  0.0312749  0.0459031  0.05  0.15
0.45  0.00778724  0.000579048  -0.1  0.1  0.0323074  0.0476088  0.05  0.15
0.46  0.00818123  0.00134259  -0.1  0.1  0.0333249  0.0492995  0.05  0.15
0.47  0.00858196  0.00195744  -0.1  0.1  0.0343267  0.0508659  0.05  0.15
0.48  0.00898917  0.00257878  -0.1  0.1  0.0353123  0.052416  0.05  0.15
0.49  0.00940268  0.00314144  -0.1  0.1  0.0362812  0.0538254  0.05  0.15
0.5  0.00982232  0.00371023  -0.1  0.1  0.0372329  0.0552175  0.05  0.15
0.51  0.010248  0.0041317  -0.1  0.1  0.038167  0.0565374  0.05  0.15
0.52  0.0106796  0.00455916  -0.1  0.1  0.0390831  0.0578392  0.05  0.15
0.53  0.0111173  0.0048821  -0.1  0.1  0.0399808  0.059068  0.05  0.15
0.54  0.0115611  0.00521114  -0.1  0.1  0.0408598  0.060278  0.05  0.15
0.55  0.0120111  0.00549905  -0.1  0.1  0.0417197  0.0614006  0.05  0.15
0.56  0.0124675  0.00579335  -0.1  0.1  0.0425604  0.0625039  0.05  0.15
0.57  0.0129304  0.00597779  -0.1  0.1  0.0433816  0.0635691  0.05  0.15
0.58  0.0134002  0.00616903  -0.1  0.1  0.0441829  0.0646145  0.05  0.15
0.59  0.0138771  0.00635642  -0.1  0.1  0.0449643  0.0655815  0.05  0.15
0.6  0.0143613  0.00655118  -0.1  0.1  0.0457254  0.0665282  0.05  0.15
